date poids 
20190814 69.7
20190815 69.7
20190816 70.2
20190820 69.5
20190821 68.5
20190822 69.4
20190823 69.4
20190824 68.8
20191113 67.9
20200109 68.1
20200201 66.1
20200204 66.0
20200225 64.7
20200226 64.4
20200226 64.1
20200322 64.6
20200410 63.8
20200412 64.1
20200413 64.4
20200415 63.5
20200416 63.4
20200417 63.9
20200418 64.0
20200419 64.0
20200420 63.4
20200421 63.3
20200422 63.2
20200423 63.0
20200424 62.9
20200425 62.5
20200426 62.9
20200427 62.3
20200429 63.9
20200430 63.8
20200502 63.3
20200503 62.7
20200504 63.1
20200505 63.1
20200506 63.0
20200507 63.0
20200510 63.7
20200512 63.1
20200515 62.6
20200517 63.3
20200523 61.7
20200527 62.3
20200528 62.3
20200529 62.4
20200530 61.8
20200601 61.3
20200603 62.9
20200604 62.3
20200606 62.8
20200609 63.1
20200612 63.4
